id;code;title;text;user_id;status_id
1;8878;index Small;Loop maroon copy;f3f8717d-01b3-4b89-826a-b6eb33d491e5;17334
2;84854;Tunisia invoice;Egypt Money Market Account Gorgeous Wooden Pants;decd7e0d-dfeb-44d7-8123-b13630eaa05d;10082
3;78914;SAS generating;XSS Refined Cotton Ball AI;79bf9e34-a002-4f3b-a8ba-bf0cca6c4185;99279
4;92448;Concrete;e-commerce web-enabled;ed01314c-e77c-4046-91ad-3c5b1c0692a6;5406
5;51314;Solutions circuit Crossing;time-frame Berkshire transmit;75e4a647-6981-4bf2-91cd-a490057939c5;421
6;5493;leading-edge Home Loan Account;Bedfordshire Borders Concrete;9d969a02-6dd1-45a1-90a2-55060fb11bc6;50796
7;28096;migration Planner collaborative;intangible Security Burundi;34a2164f-5b93-448c-9819-5061e89913a1;83773
8;11086;niches;invoice parsing magnetic;3406b11b-6013-4e58-ba9c-c3cc4686be6f;9977
9;96272;Incredible Rubber Sausages;Tasty Personal Loan Account revolutionize;9a7a1e37-5ce7-4507-b647-c5de4fe7ac63;8870
10;98728;Berkshire Ergonomic;interface seize;f68eda9a-63e7-42f9-9773-632788877d40;10120
